2025-05-01T00:43:11
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
12541,11607,1450,934,72,0,65535,1807,100,11486,11523,11650,11592,11683
12773,11607,1450,1166,72,0,65535,1807,100,11485,11512,11638,11611,11698
12951,11607,1450,1344,72,0,65535,1807,100,11488,11502,11625,11613,11703
13010,11607,1450,1403,72,0,65535,1807,100,11508,11496,11623,11608,11701
13061,11607,1450,1454,72,0,65535,1807,100,11529,11513,11611,11608,11674
13079,11607,1450,1472,72,1,65535,1807,100,11544,11504,11639,11606,11682
13107,11607,1450,1500,72,1,65535,1807,100,11522,11501,11630,11591,11689
13132,11607,1450,1525,72,1,65535,1807,100,11535,11511,11658,11612,11675
13137,11607,1450,1530,72,1,65535,1807,100,11497,11522,11656,11601,11662
13110,11607,1450,1503,72,1,65535,1807,100,11480,11515,11641,11598,11680
13076,11607,1450,1469,72,1,65535,1807,100,11486,11512,11638,11591,11663
12719,11607,1450,1112,72,1,65535,1807,100,11483,11497,11657,11579,11670
12122,11607,1450,515,72,0,65535,1807,100,11502,11498,11631,11616,11705
11901,11607,1450,294,72,0,-,-,-,-,-,-,-,-
11719,11607,1450,112,72,0,65535,1807,100,11515,11500,11628,11590,11699
11670,11607,1450,63,72,0,65535,1807,100,11550,11495,11665,11613,11691
11659,11607,1450,52,72,0,65535,1807,100,11538,11498,11629,11631,11701
11624,11607,1450,17,72,0,65535,1807,100,11540,11498,11652,11560,11683
11615,11607,1450,8,72,0,65535,1807,100,11533,11505,11644,11578,11695
11660,11607,1450,53,72,0,65535,1807,100,11528,11507,11653,11610,11716
12002,11607,1450,395,72,0,-,-,-,-,-,-,-,-
12497,11607,1450,890,72,0,65535,1807,100,11545,11578,11679,11635,11686
